City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,62.01,33,40,4.61,US,1715804851
1,grytviken,-54.2811,-36.5092,27.01,84,100,15.3,GS,1715804851
2,avarua,-21.2078,-159.775,75.25,88,75,16.11,CK,1715804851
3,inhambane,-23.865,35.3833,73.29,78,89,7.96,MZ,1715804851
4,bhinmal,25.0,72.25,87.39,41,4,9.48,IN,1715804851
5,lamu,-2.2717,40.902,81.05,83,54,15.75,KE,1715804851
6,freetown,8.484,-13.2299,81.61,81,98,6.67,SL,1715804851
7,nemuro,43.3236,145.575,42.84,98,100,7.85,JP,1715804676
8,igarka,67.4667,86.5833,15.03,96,92,8.99,RU,1715804852
9,bethel,41.3712,-73.414,64.54,86,100,8.05,US,1715804852
10,haiku-pauwela,20.9219,-156.3051,82.26,74,20,21.85,US,1715804852
11,ta`u,-14.2336,-169.5144,83.97,79,32,23.11,AS,1715804852
12,kidal,18.4411,1.4078,99.05,9,0,6.33,ML,1715804776
13,st austell,50.3383,-4.7658,55.96,88,0,14.97,GB,1715804852
14,masterton,-40.9597,175.6575,47.1,95,23,2.39,NZ,1715804852
15,waitangi,-43.9535,-176.5597,56.82,96,99,10.0,NZ,1715804852
16,port-aux-francais,-49.35,70.2167,40.01,84,98,31.29,TF,1715804852
17,uturoa,-16.7333,-151.4333,82.15,64,90,20.92,PF,1715804852
18,west island,-12.1568,96.8225,80.58,78,40,17.27,CC,1715804852
19,aconibe,1.2968,10.9369,73.62,87,73,2.08,GQ,1715804852
20,iquitos,-3.7481,-73.2472,84.24,84,75,3.44,PE,1715804645
21,mogadishu,2.0371,45.3438,81.79,87,90,15.14,SO,1715804853
22,ivdel',60.6911,60.4206,40.03,64,100,7.0,RU,1715804853
23,durant,33.994,-96.3708,88.16,41,0,12.66,US,1715804853
24,adamstown,-25.066,-130.1015,69.75,84,100,18.01,PN,1715804816
25,riachao das neves,-11.7461,-44.91,92.75,29,22,6.24,BR,1715804853
26,yellowknife,62.456,-114.3525,49.41,53,20,6.91,CA,1715804853
27,afaahiti,-17.75,-149.2833,84.07,79,61,22.28,PF,1715804853
28,suva,-18.1416,178.4415,80.08,94,75,0.0,FJ,1715804853
29,ushuaia,-54.8,-68.3,44.26,81,75,26.46,AR,1715804853
30,ketanggungan,-6.9383,108.891,76.53,87,16,8.34,ID,1715804853
31,rondonopolis,-16.4708,-54.6356,87.06,38,52,2.39,BR,1715804763
32,bredasdorp,-34.5322,20.0403,57.04,92,84,2.86,ZA,1715804853
33,arkalyk,50.2486,66.9114,50.13,48,3,14.32,KZ,1715804853
34,turpan,42.9333,89.1667,89.89,18,100,3.78,CN,1715804853
35,pisco,-13.7,-76.2167,73.45,68,0,13.8,PE,1715804854
36,arkhangel'sk,64.5401,40.5433,50.13,81,40,6.71,RU,1715804658
37,santa cruz,-17.8,-63.1667,62.65,63,75,2.3,BO,1715804854
38,sittwe,20.15,92.9,84.25,74,4,8.86,MM,1715804854
39,invercargill,-46.4,168.35,47.01,84,100,8.99,NZ,1715804854
40,huarmey,-10.0681,-78.1522,70.72,76,18,10.65,PE,1715804854
41,sola,-13.8833,167.55,81.05,78,20,24.65,VU,1715804854
42,port mathurin,-19.6833,63.4167,76.68,74,100,23.53,MU,1715804854
43,prado,-17.3411,-39.2208,79.79,78,0,8.39,BR,1715804854
44,tsiombe,-25.3,45.4833,70.75,83,9,14.61,MG,1715804854
45,rongelap,11.1635,166.8941,81.21,83,100,19.35,MH,1715804854
46,namsos,64.4662,11.4957,58.91,58,0,0.0,NO,1715804854
47,albany,42.6001,-73.9662,65.57,82,100,1.01,US,1715804854
48,konkwesso,10.8469,4.0984,91.26,45,4,6.22,NG,1715804855
49,concepcion,-36.827,-73.0498,55.2,58,40,12.66,CL,1715804788
50,crane,31.3974,-102.3501,91.02,23,100,25.3,US,1715804855
51,pampas,-12.4,-74.9,55.83,61,61,6.51,PE,1715804855
52,luau,-10.7073,22.2247,70.59,50,93,4.92,AO,1715804855
53,al bawiti,28.3492,28.8659,75.81,25,0,7.85,EG,1715804855
54,willingen,51.3,8.6167,63.99,90,74,5.1,DE,1715804855
